17:32:46.634 [main] INFO  com.enes.dronegcs.Main - Drone GCS başlatıldı. MAVLink mesajları dinleniyor...
17:33:05.366 [main] INFO  c.e.dronegcs.MavlinkMessageHandler - Konum güncellendi! Sistem ID: 1 | Enlem: -35.3632621 | Boylam: 149.1652375 | İrtifa: -0.002m
17:33:05.622 [main] INFO  c.e.dronegcs.MavlinkMessageHandler - Konum güncellendi! Sistem ID: 1 | Enlem: -35.3632621 | Boylam: 149.1652375 | İrtifa: -0.002m
17:33:05.872 [main] INFO  c.e.dronegcs.MavlinkMessageHandler - Konum güncellendi! Sistem ID: 1 | Enlem: -35.3632621 | Boylam: 149.1652375 | İrtifa: -0.002m
17:33:06.120 [main] INFO  c.e.dronegcs.MavlinkMessageHandler - Konum güncellendi! Sistem ID: 1 | Enlem: -35.3632621 | Boylam: 149.1652375 | İrtifa: -0.002m
17:33:06.291 [main] INFO  c.e.dronegcs.MavlinkMessageHandler - Heartbeat alındı! Sistem ID: 1
17:33:06.367 [main] INFO  c.e.dronegcs.MavlinkMessageHandler - Konum güncellendi! Sistem ID: 1 | Enlem: -35.3632621 | Boylam: 149.1652375 | İrtifa: -0.002m
17:33:06.620 [main] INFO  c.e.dronegcs.MavlinkMessageHandler - Konum güncellendi! Sistem ID: 1 | Enlem: -35.3632621 | Boylam: 149.1652375 | İrtifa: -0.002m
17:33:06.872 [main] INFO  c.e.dronegcs.MavlinkMessageHandler - Konum güncellendi! Sistem ID: 1 | Enlem: -35.3632621 | Boylam: 149.1652375 | İrtifa: -0.002m
17:33:07.119 [main] INFO  c.e.dronegcs.MavlinkMessageHandler - Konum güncellendi! Sistem ID: 1 | Enlem: -35.3632621 | Boylam: 149.1652375 | İrtifa: -0.002m
17:33:07.286 [main] INFO  c.e.dronegcs.MavlinkMessageHandler - Heartbeat alındı! Sistem ID: 1
17:33:07.367 [main] INFO  c.e.dronegcs.MavlinkMessageHandler - Konum güncellendi! Sistem ID: 1 | Enlem: -35.3632621 | Boylam: 149.1652375 | İrtifa: -0.002m
17:33:07.621 [main] INFO  c.e.dronegcs.MavlinkMessageHandler - Konum güncellendi! Sistem ID: 1 | Enlem: -35.3632621 | Boylam: 149.1652375 | İrtifa: -0.002m
17:33:07.869 [main] INFO  c.e.dronegcs.MavlinkMessageHandler - Konum güncellendi! Sistem ID: 1 | Enlem: -35.3632621 | Boylam: 149.1652375 | İrtifa: -0.002m
17:33:08.121 [main] INFO  c.e.dronegcs.MavlinkMessageHandler - Konum güncellendi! Sistem ID: 1 | Enlem: -35.3632621 | Boylam: 149.1652375 | İrtifa: -0.002m
17:33:08.291 [main] INFO  c.e.dronegcs.MavlinkMessageHandler - Heartbeat alındı! Sistem ID: 1
17:33:08.372 [main] INFO  c.e.dronegcs.MavlinkMessageHandler - Konum güncellendi! Sistem ID: 1 | Enlem: -35.3632621 | Boylam: 149.1652375 | İrtifa: -0.002m
17:33:08.618 [main] INFO  c.e.dronegcs.MavlinkMessageHandler - Konum güncellendi! Sistem ID: 1 | Enlem: -35.3632621 | Boylam: 149.1652375 | İrtifa: -0.001m
17:33:08.868 [main] INFO  c.e.dronegcs.MavlinkMessageHandler - Konum güncellendi! Sistem ID: 1 | Enlem: -35.3632621 | Boylam: 149.1652375 | İrtifa: -0.001m
17:33:09.118 [main] INFO  c.e.dronegcs.MavlinkMessageHandler - Konum güncellendi! Sistem ID: 1 | Enlem: -35.3632621 | Boylam: 149.1652375 | İrtifa: -0.001m
17:33:09.289 [main] INFO  c.e.dronegcs.MavlinkMessageHandler - Heartbeat alındı! Sistem ID: 1
17:33:09.372 [main] INFO  c.e.dronegcs.MavlinkMessageHandler - Konum güncellendi! Sistem ID: 1 | Enlem: -35.3632621 | Boylam: 149.1652375 | İrtifa: -0.001m
17:33:09.616 [main] INFO  c.e.dronegcs.MavlinkMessageHandler - Konum güncellendi! Sistem ID: 1 | Enlem: -35.3632621 | Boylam: 149.1652375 | İrtifa: -0.001m
17:33:09.871 [main] INFO  c.e.dronegcs.MavlinkMessageHandler - Konum güncellendi! Sistem ID: 1 | Enlem: -35.3632621 | Boylam: 149.1652375 | İrtifa: -0.001m
17:33:10.121 [main] INFO  c.e.dronegcs.MavlinkMessageHandler - Konum güncellendi! Sistem ID: 1 | Enlem: -35.3632621 | Boylam: 149.1652375 | İrtifa: -0.001m
17:33:10.289 [main] INFO  c.e.dronegcs.MavlinkMessageHandler - Heartbeat alındı! Sistem ID: 1
17:33:10.371 [main] INFO  c.e.dronegcs.MavlinkMessageHandler - Konum güncellendi! Sistem ID: 1 | Enlem: -35.3632621 | Boylam: 149.1652375 | İrtifa: -0.001m
17:33:10.620 [main] INFO  c.e.dronegcs.MavlinkMessageHandler - Konum güncellendi! Sistem ID: 1 | Enlem: -35.3632621 | Boylam: 149.1652375 | İrtifa: -0.001m
17:33:10.868 [main] INFO  c.e.dronegcs.MavlinkMessageHandler - Konum güncellendi! Sistem ID: 1 | Enlem: -35.3632621 | Boylam: 149.1652375 | İrtifa: -0.001m
17:33:11.117 [main] INFO  c.e.dronegcs.MavlinkMessageHandler - Konum güncellendi! Sistem ID: 1 | Enlem: -35.3632621 | Boylam: 149.1652375 | İrtifa: -0.001m
17:33:11.287 [main] INFO  c.e.dronegcs.MavlinkMessageHandler - Heartbeat alındı! Sistem ID: 1
17:33:11.367 [main] INFO  c.e.dronegcs.MavlinkMessageHandler - Konum güncellendi! Sistem ID: 1 | Enlem: -35.3632621 | Boylam: 149.1652375 | İrtifa: -0.001m
